Virgin_2019_07_25,Virgin_2019_07_25,6X6_BP-A_2019_08_05,6X6_BP-A_2019_08_05,6X6_W/ART_BP-B_2019_08_06,6X6_W/ART_BP-B_2019_08_06,11x11_W/ART_BP-C_2019_08_07,11x11_W/ART_BP-C_2019_08_07,11x11_W/ART_BP-D_2019_08_08,11x11_W/ART_BP-D_2019_08_08,6x6_BP-E_2019_08_09,6x6_BP-E_2019_08_09,6x6_W/ART_BP-F_2019_08_12,6x6_W/ART_BP-F_2019_08_12,Virgin_2019_07_25 (2),Virgin_2019_07_25 (2),Virgin_2019_07_25 (3),Virgin_2019_07_25 (3)
0.633610133,0,0.633610133,0,0.633610133,0,0.633610133,0,0.633610133,0,0.633610133,0,0.633610133,0,0.633610133,0,0.633610133,0
0.719884454,0,0.719884454,0,0.719884454,0,0.719884454,0,0.719884454,0,0.719884454,0,0.719884454,0,0.719884454,0,0.719884454,0
0.817906153,0,0.817906153,0,0.817906153,0,0.817906153,0,0.817906153,0,0.817906153,0,0.817906153,0,0.817906153,0,0.817906153,0
0.929274791,0,0.929274791,0,0.929274791,0,0.929274791,0,0.929274791,0,0.929274791,0,0.929274791,0,0.929274791,0,0.929274791,0
1.055807727,0,1.055807727,0,1.055807727,0,1.055807727,0,1.055807727,0,1.055807727,0,1.055807727,0,1.055807727,0,1.055807727,0
1.199569781,0,1.199569781,0,1.199569781,0,1.199569781,0,1.199569781,0,1.199569781,0,1.199569781,0,1.199569781,0,1.199569781,0
1.362906921,0,1.362906921,0,1.362906921,0,1.362906921,0,1.362906921,0,1.362906921,0,1.362906921,0,1.362906921,0,1.362906921,0
1.548484553,0,1.548484553,0,1.548484553,0,1.548484553,0,1.548484553,0,1.548484553,0,1.548484553,0,1.548484553,0,1.548484553,0
1.759331011,0,1.759331011,0,1.759331011,0,1.759331011,0,1.759331011,0,1.759331011,0,1.759331011,0,1.759331011,0,1.759331011,0
1.998886977,0,1.998886977,0,1.998886977,0,1.998886977,0,1.998886977,0,1.998886977,0,1.998886977,0,1.998886977,0,1.998886977,0
2.271061625,0,2.271061625,0,2.271061625,0,2.271061625,0,2.271061625,0,2.271061625,0,2.271061625,0,2.271061625,0,2.271061625,0
2.580296417,0,2.580296417,0,2.580296417,0,2.580296417,0,2.580296417,0,2.580296417,0,2.580296417,0,2.580296417,0,2.580296417,0
2.931637577,0,2.931637577,0,2.931637577,0,2.931637577,0,2.931637577,0,2.931637577,0,2.931637577,0,2.931637577,0,2.931637577,0
3.330818439,0,3.330818439,0,3.330818439,0,3.330818439,0,3.330818439,0,3.330818439,0,3.330818439,0,3.330818439,0,3.330818439,0
3.784353005,0,3.784353005,0,3.784353005,0,3.784353005,0,3.784353005,0,3.784353005,0,3.784353005,0,3.784353005,0,3.784353005,0
4.299642243,0,4.299642243,0,4.299642243,0,4.299642243,0,4.299642243,0,4.299642243,0,4.299642243,0,4.299642243,0,4.299642243,0
4.885094862,0,4.885094862,0,4.885094862,0,4.885094862,0,4.885094862,0,4.885094862,0,4.885094862,0,4.885094862,0,4.885094862,0
5.550264524,0,5.550264524,0,5.550264524,0,5.550264524,0,5.550264524,0,5.550264524,0,5.550264524,0,5.550264524,0,5.550264524,0
6.30600575,0,6.30600575,0,6.30600575,0,6.30600575,0,6.30600575,0,6.30600575,0,6.30600575,0,6.30600575,0,6.30600575,0
7.164651044,0,7.164651044,0,7.164651044,0,7.164651044,0,7.164651044,6.38E-05,7.164651044,4.90E-05,7.164651044,5.58E-05,7.164651044,0,7.164651044,0
8.140212144,6.68E-05,8.140212144,0.00019122,8.140212144,0.000152634,8.140212144,0.000183336,8.140212144,0.006352807,8.140212144,0.00558199,8.140212144,0.006039656,8.140212144,7.32E-05,8.140212144,6.35E-05
9.248608668,0.006396011,9.248608668,0.037185394,9.248608668,0.030793754,9.248608668,0.033968765,9.248608668,0.102223705,9.248608668,0.098595928,9.248608668,0.103156973,9.248608668,0.006827933,9.248608668,0.006127581
10.5079279,0.100405431,10.5079279,0.480707246,10.5079279,0.403503675,10.5079279,0.431441342,10.5079279,0.595485409,10.5079279,0.638773279,10.5079279,0.645492158,10.5079279,0.104814236,10.5079279,0.096735596
11.93871994,0.573164879,11.93871994,1.596986669,11.93871994,1.388298272,11.93871994,1.369470392,11.93871994,1.7437118,11.93871994,1.968965397,11.93871994,1.964971498,11.93871994,0.581090053,11.93871994,0.556403224
13.56433306,1.717043433,13.56433306,3.540223165,13.56433306,3.146776167,13.56433306,2.979520698,13.56433306,3.621011511,13.56433306,4.192411202,13.56433306,4.159091662,13.56433306,1.720415481,13.56433306,1.674400389
15.41129471,3.668295746,15.41129471,6.203062286,15.41129471,5.6147369,15.41129471,5.212105611,15.41129471,6.098230654,15.41129471,7.120850859,15.41129471,7.042385776,15.41129471,3.655238531,15.41129471,3.590166682
17.50974438,6.343346045,17.50974438,9.236310937,17.50974438,8.506707305,17.50974438,7.845696471,17.50974438,8.866329787,17.50974438,10.31057366,17.50974438,10.18243929,17.50974438,6.303951785,17.50974438,6.229042236
19.89392546,9.427653646,19.89392546,12.1347703,19.89392546,11.37924599,19.89392546,10.52955051,19.89392546,11.50539962,19.89392546,13.17753021,19.89392546,13.01200902,19.89392546,9.359245277,19.89392546,9.288634511
22.60274403,12.42809469,22.60274403,14.3597443,22.60274403,13.7304229,22.60274403,12.8478472,22.60274403,13.57568402,22.60274403,15.15090086,22.60274403,14.97691485,22.60274403,12.3382923,22.60274403,12.2871879
25.68040374,14.77491966,25.68040374,15.47168239,25.68040374,15.1151706,25.68040374,14.40040686,25.68040374,14.71174538,25.68040374,15.82314964,25.68040374,15.67947417,25.68040374,14.68111858,25.68040374,14.66132746
29.17712713,15.95813113,29.17712713,15.2383653,29.17712713,15.24943831,29.17712713,14.885997,29.17712713,14.69995606,29.17712713,15.0545913,29.17712713,14.97810564,29.17712713,15.88312673,29.17712713,15.89942177
33.14997522,15.66868359,33.14997522,13.69390137,33.14997522,14.08163354,33.14997522,14.17465894,33.14997522,13.52605392,33.14997522,13.00676154,33.14997522,13.01977799,33.14997522,15.6335865,33.14997522,15.68219496
37.66377863,13.90565801,37.66377863,11.13569537,37.66377863,11.8157153,37.66377863,12.35317797,37.66377863,11.38471847,37.66377863,10.09931809,37.66377863,10.20085666,37.66377863,13.92247588,37.66377863,13.99221273
42.7921955,11.00841961,42.7921955,8.058399493,42.7921955,8.876137948,42.7921955,9.726726347,42.7921955,8.646722992,42.7921955,6.903496807,42.7921955,7.068174653,42.7921955,11.07490481,42.7921955,11.15055442
48.61891352,7.586035665,48.61891352,5.034394425,48.61891352,5.812738594,48.61891352,6.763460979,48.61891352,5.783236918,48.61891352,3.997017401,48.61891352,4.182404934,48.61891352,7.684728169,48.61891352,7.751557027
55.23901552,4.349558929,55.23901552,2.567059751,55.23901552,3.161267909,55.23901552,3.985349637,55.23901552,3.258316191,55.23901552,1.816798519,55.23901552,1.976726177,55.23901552,4.452032399,55.23901552,4.499982838
62.76053114,1.894366661,62.76053114,0.951664764,62.76053114,1.295835332,62.76053114,1.832415816,62.76053114,1.414623944,62.76053114,0.541796447,62.76053114,0.645407528,62.76053114,1.971036204,62.76053114,1.997284056
71.30619965,0.501782188,71.30619965,0.193849594,71.30619965,0.317420268,71.30619965,0.535993432,71.30619965,0.380629594,71.30619965,0.040746555,71.30619965,0.098929325,71.30619965,0.536165323,71.30619965,0.545123868
81.01547288,0.035917674,81.01547288,0.013666014,81.01547288,0.021982953,81.01547288,0.039943327,81.01547288,0.027460191,81.01547288,0.000114091,81.01547288,0.005559696,81.01547288,0.038805618,81.01547288,0.03950608
92.04679085,8.30E-05,92.04679085,0.000162775,92.04679085,4.44E-05,92.04679085,0.00010812,92.04679085,6.60E-05,92.04679085,0,92.04679085,4.93E-05,92.04679085,9.37E-05,92.04679085,9.59E-05
104.5801673,0,104.5801673,0,104.5801673,0,104.5801673,0,104.5801673,0,104.5801673,0,104.5801673,0,104.5801673,0,104.5801673,0
118.8201271,0,118.8201271,0,118.8201271,0,118.8201271,0,118.8201271,0,118.8201271,0,118.8201271,0,118.8201271,0,118.8201271,0
134.999044,0,134.999044,0,134.999044,0,134.999044,0,134.999044,0,134.999044,0,134.999044,0,134.999044,0,134.999044,0
153.3809324,0,153.3809324,0,153.3809324,0,153.3809324,0,153.3809324,0,153.3809324,0,153.3809324,0,153.3809324,0,153.3809324,0
174.2657557,0,174.2657557,0,174.2657557,0,174.2657557,0,174.2657557,0,174.2657557,0,174.2657557,0,174.2657557,0,174.2657557,0
197.9943213,0,197.9943213,0,197.9943213,0,197.9943213,0,197.9943213,0,197.9943213,0,197.9943213,0,197.9943213,0,197.9943213,0
224.953842,0,224.953842,0,224.953842,0,224.953842,0,224.953842,0,224.953842,0,224.953842,0,224.953842,0,224.953842,0
255.5842545,0,255.5842545,0,255.5842545,0,255.5842545,0,255.5842545,0,255.5842545,0,255.5842545,0,255.5842545,0,255.5842545,0
290.3853991,0,290.3853991,0,290.3853991,0,290.3853991,0,290.3853991,0,290.3853991,0,290.3853991,0,290.3853991,0,290.3853991,0
329.9251753,0,329.9251753,0,329.9251753,0,329.9251753,0,329.9251753,0,329.9251753,0,329.9251753,0,329.9251753,0,329.9251753,0
374.8488101,0,374.8488101,0,374.8488101,0,374.8488101,0,374.8488101,0,374.8488101,0,374.8488101,0,374.8488101,0,374.8488101,0
425.8893863,0,425.8893863,0,425.8893863,0,425.8893863,0,425.8893863,0,425.8893863,0,425.8893863,0,425.8893863,0,425.8893863,0
483.8798056,0,483.8798056,0,483.8798056,0,483.8798056,0,483.8798056,0,483.8798056,0,483.8798056,0,483.8798056,0,483.8798056,0
549.7663801,0,549.7663801,0,549.7663801,0,549.7663801,0,549.7663801,0,549.7663801,0,549.7663801,0,549.7663801,0,549.7663801,0
624.624275,0,624.624275,0,624.624275,0,624.624275,0,624.624275,0,624.624275,0,624.624275,0,624.624275,0,624.624275,0
709.6750529,0,709.6750529,0,709.6750529,0,709.6750529,0,709.6750529,0,709.6750529,0,709.6750529,0,709.6750529,0,709.6750529,0
806.3066084,0,806.3066084,0,806.3066084,0,806.3066084,0,806.3066084,0,806.3066084,0,806.3066084,0,806.3066084,0,806.3066084,0
916.0958161,0,916.0958161,0,916.0958161,0,916.0958161,0,916.0958161,0,916.0958161,0,916.0958161,0,916.0958161,0,916.0958161,0
1040.834263,0,1040.834263,0,1040.834263,0,1040.834263,0,1040.834263,0,1040.834263,0,1040.834263,0,1040.834263,0,1040.834263,0
1182.557483,0,1182.557483,0,1182.557483,0,1182.557483,0,1182.557483,0,1182.557483,0,1182.557483,0,1182.557483,0,1182.557483,0
1343.578176,0,1343.578176,0,1343.578176,0,1343.578176,0,1343.578176,0,1343.578176,0,1343.578176,0,1343.578176,0,1343.578176,0
1526.523947,0,1526.523947,0,1526.523947,0,1526.523947,0,1526.523947,0,1526.523947,0,1526.523947,0,1526.523947,0,1526.523947,0
1734.38018,0,1734.38018,0,1734.38018,0,1734.38018,0,1734.38018,0,1734.38018,0,1734.38018,0,1734.38018,0,1734.38018,0
1970.538763,0,1970.538763,0,1970.538763,0,1970.538763,0,1970.538763,0,1970.538763,0,1970.538763,0,1970.538763,0,1970.538763,0
2238.85343,0,2238.85343,0,2238.85343,0,2238.85343,0,2238.85343,0,2238.85343,0,2238.85343,0,2238.85343,0,2238.85343,0
2543.702655,0,2543.702655,0,2543.702655,0,2543.702655,0,2543.702655,0,2543.702655,0,2543.702655,0,2543.702655,0,2543.702655,0
2890.061095,0,2890.061095,0,2890.061095,0,2890.061095,0,2890.061095,0,2890.061095,0,2890.061095,0,2890.061095,0,2890.061095,0
3283.580774,0,3283.580774,0,3283.580774,0,3283.580774,0,3283.580774,0,3283.580774,0,3283.580774,0,3283.580774,0,3283.580774,0
